Subject,Overall Frequency,bau,arc,tec,mas,fer,phy,mat,geo,his,sow,elt,inf,oek,ver,rel,jur,pae,hor,meda,rest,cet,che,lin,phi,lit,bio,spo,ber,med
Unternehmen,2291,1,0,81,8,3,0,21,6,9,240,5,252,1050,1,0,85,445,0,47,19,8,0,4,2,1,2,1,0,0
Architektur,2149,123,1524,9,6,4,1,3,34,148,91,9,14,14,2,10,2,85,0,5,26,3,0,5,8,9,1,12,1,0
Nachhaltigkeit,2042,109,357,31,42,8,6,5,87,9,186,12,27,531,50,8,27,146,52,11,57,207,14,0,13,0,23,21,3,0
Literatur,2028,0,4,3,1,0,1,1,12,144,90,0,4,0,1,42,4,34,0,8,24,1,0,402,33,1213,5,1,0,0
Digitalisierung,1534,17,40,70,11,0,2,8,13,12,232,17,140,412,13,6,71,306,7,22,71,9,0,16,22,13,2,0,0,2
Deutsch,1278,11,8,6,1,1,2,1,4,36,37,2,3,5,2,22,8,104,0,0,12,4,5,452,11,534,6,1,0,0
Stadtplanung,1222,23,700,1,3,0,0,1,181,50,148,1,8,25,25,4,5,12,2,3,3,15,0,1,1,2,5,3,0,0
Management,1163,10,13,32,1,0,0,11,10,3,102,1,56,518,13,1,19,291,4,23,12,11,1,1,3,1,2,24,0,0
Kind,1098,0,5,3,0,0,1,3,3,39,295,0,20,13,2,15,27,470,1,91,12,1,0,34,17,22,3,21,0,0
Gesellschaft,1039,3,52,18,1,0,2,6,46,130,387,0,36,59,0,81,17,70,2,14,30,5,2,4,50,13,4,7,0,0
Künstliche Intelligenz,1037,8,15,42,6,1,9,53,11,5,70,10,521,64,10,2,50,35,1,27,14,5,5,6,42,9,6,2,1,7
Politik,1030,0,8,15,1,0,1,1,26,271,401,2,6,46,0,93,25,20,3,9,19,1,0,5,54,21,0,1,0,1
Statistik,1029,2,1,11,4,0,22,515,19,2,104,4,93,147,2,0,3,38,2,13,8,9,6,1,0,1,19,3,0,0
Kultur,1027,5,32,6,1,0,0,4,34,298,204,3,12,22,10,68,9,56,9,18,19,5,0,47,36,108,9,11,1,0
Stadtentwicklung,942,8,451,2,0,0,0,1,181,38,168,0,3,36,15,0,6,13,2,1,1,15,0,0,1,0,0,0,0,0
Globalisierung,905,2,12,10,2,0,0,0,64,67,282,0,6,249,5,21,23,56,6,2,30,6,0,20,19,21,2,0,0,0
Philosophie,883,0,23,11,0,0,55,23,0,28,69,2,12,11,0,37,3,59,0,10,28,1,2,26,409,62,12,0,0,0
Strategisches Management,869,5,8,24,0,0,0,7,3,1,53,0,41,467,9,0,3,223,0,3,8,8,0,0,0,0,0,4,0,2
Englisch,849,13,8,7,3,1,3,2,4,21,24,2,2,9,3,1,2,36,0,2,7,5,9,292,0,386,7,0,0,0
Mathematik,838,0,1,14,0,0,43,565,4,3,7,3,44,19,0,2,1,76,0,1,12,2,5,5,17,3,9,1,0,1
Frau,821,1,16,14,0,0,1,3,5,122,378,0,3,42,0,54,20,67,1,12,11,0,0,3,11,52,0,5,0,0
Jugend,815,0,8,6,0,0,0,0,5,24,338,0,13,11,0,30,17,289,0,42,4,0,0,3,3,10,0,12,0,0
Maschinelles Lernen,813,5,1,15,2,2,16,73,10,0,1,15,605,15,6,0,4,5,0,13,3,2,7,1,2,0,6,3,0,1
Stadt,798,13,228,4,0,0,0,0,182,79,177,1,5,24,11,7,2,14,7,4,2,12,0,3,2,8,6,7,0,0
Islam,789,0,8,0,0,0,0,2,9,117,174,0,1,6,0,414,14,18,0,2,7,0,0,1,11,3,2,0,0,0
Informationstechnik,763,3,12,15,3,0,0,5,9,6,49,48,274,208,6,0,24,62,0,2,24,0,0,2,7,1,0,3,0,0
Internet,758,0,1,8,1,0,2,3,6,9,140,16,244,67,2,8,103,63,0,7,49,1,0,13,4,10,0,1,0,0
Führung,756,3,3,8,0,0,0,0,0,3,203,0,4,333,0,0,5,184,0,3,1,1,0,0,3,0,0,2,0,0
Kommunikation,751,5,13,14,1,0,1,9,8,20,141,3,69,159,2,7,15,124,1,6,55,2,0,56,4,33,3,0,0,0
Wirtschaft,740,0,4,10,1,0,0,50,18,93,137,0,15,300,5,11,24,22,1,5,6,9,1,4,13,6,2,3,0,0
Computersimulation,733,2,3,51,6,11,131,200,16,0,9,15,117,75,9,0,0,5,2,12,10,6,25,0,2,0,17,2,1,6
Datenanalyse,732,3,3,8,2,1,30,189,43,0,54,3,241,70,2,0,7,12,1,18,10,3,7,0,0,0,18,1,2,4
Rezeption,730,3,49,2,1,0,6,1,4,128,74,0,1,7,0,76,16,40,0,1,40,1,0,39,58,179,3,1,0,0
Soziologie,718,2,17,9,1,0,2,6,14,21,435,1,15,31,2,14,6,54,1,10,17,0,0,3,42,9,1,5,0,0
Klimaänderung,708,24,60,1,7,0,2,4,120,19,75,2,1,88,9,3,16,19,30,2,139,44,2,0,3,4,29,5,0,0
Religion,708,2,2,0,0,0,4,1,4,93,141,0,0,6,0,340,17,10,0,4,6,0,0,7,48,17,5,1,0,0
Internationaler Vergleich,696,0,13,14,0,0,0,0,16,34,242,1,4,181,1,7,32,113,1,9,13,1,0,4,1,3,2,4,0,0
Mathematisches Modell,695,9,4,55,9,19,103,207,55,0,8,13,19,58,10,0,1,8,2,27,9,16,11,0,2,0,46,0,1,3
Innovationsmanagement,685,2,6,135,3,0,0,2,1,0,37,2,26,302,6,0,9,137,0,4,5,5,0,0,1,0,0,1,1,0
Demokratie,678,0,5,1,1,0,0,1,5,68,411,1,8,20,0,18,53,19,0,1,3,0,0,1,53,8,0,1,0,0
Innovation,647,4,6,97,4,1,1,5,15,9,58,2,14,265,7,5,14,101,4,6,12,3,1,0,5,1,2,2,0,3
Zukunft,635,4,23,25,1,1,0,3,26,38,174,1,20,173,3,14,10,40,2,3,34,7,1,0,18,13,0,1,0,0
Wirtschaftspolitik,629,0,4,5,0,0,0,2,21,38,112,0,1,416,0,0,8,2,7,1,6,3,0,0,1,0,2,0,0,0
Ethik,622,2,6,30,3,0,1,3,3,5,62,2,39,23,1,60,18,58,4,23,19,6,1,7,219,12,10,2,0,3
Projektmanagement,619,49,44,21,4,0,0,14,1,0,23,0,106,215,1,0,5,131,0,1,3,1,0,0,0,0,0,0,0,0
Wirtschaftsentwicklung,603,1,14,4,0,0,0,0,52,64,108,0,5,319,3,1,6,7,2,2,10,2,0,1,0,1,0,1,0,0
Recht,603,3,1,5,2,0,0,0,4,25,55,1,20,50,2,17,354,27,1,13,2,2,1,4,12,2,0,0,0,0
Physik,602,0,0,12,3,1,397,62,14,4,1,4,10,1,2,2,0,13,1,11,6,1,12,4,20,4,11,5,0,1
Neue Medien,576,0,9,10,0,0,3,9,6,13,120,6,70,23,0,7,11,175,0,3,60,0,1,21,12,16,0,1,0,0
Schule,573,0,3,3,0,0,0,1,2,15,136,1,15,11,0,10,13,337,0,11,1,0,1,4,2,4,0,3,0,0
Methode,555,7,2,11,6,6,6,36,40,9,118,0,9,44,0,18,4,84,4,7,29,12,19,20,18,16,27,0,2,1
Nationalsozialismus,550,0,18,4,0,0,1,0,3,251,169,0,0,3,1,20,19,19,1,10,3,0,0,6,9,12,0,1,0,0
