Split,Type,Lang,Min,Max,Mean
train,Article,en,11,626,155.8
train,Article,de,22,237,91.7
train,Book,en,1,5101,174.7
train,Book,de,8,1776,143.5
train,Conference,en,13,1617,168.6
train,Conference,de,7,1217,144.1
train,Report,en,9,901,94.3
train,Report,de,8,884,122
train,Thesis,en,7,1859,183.8
train,Thesis,de,6,2311,167.4
dev,Article,en,9,378,155.7
dev,Article,de,107,107,107
dev,Book,en,10,1679,170.3
dev,Book,de,11,1221,143.5
dev,Conference,en,18,1298,165.4
dev,Conference,de,15,778,145.3
dev,Report,en,8,534,93.7
dev,Report,de,10,394,114.3
dev,Thesis,en,8,1133,185.9
dev,Thesis,de,8,3325,170.5
test,Article,en,16,513,155.8
test,Article,de,186,186,186
test,Book,en,11,2115,172.2
test,Book,de,8,1731,137.1
test,Conference,en,17,1773,175
test,Conference,de,10,808,141.9
test,Report,en,11,829,99.4
test,Report,de,10,551,119.2
test,Thesis,en,6,1646,183.4
test,Thesis,de,6,1705,156.4
